#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2015-11-16_0715.jpg,276577,"{}",26,0,"{""name"":""polygon"",""all_points_x"":[0,28,1,0],""all_points_y"":[115,88,91,115]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,1,"{""name"":""polygon"",""all_points_x"":[3,58,85,31,3],""all_points_y"":[114,111,80,86,114]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,2,"{""name"":""polygon"",""all_points_x"":[119,143,85,60,119],""all_points_y"":[103,71,79,110,103]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,3,"{""name"":""polygon"",""all_points_x"":[177,121,144,194,177],""all_points_y"":[96,101,70,63,96]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,4,"{""name"":""polygon"",""all_points_x"":[239,180,194,254,239],""all_points_y"":[87,95,63,55,87]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,5,"{""name"":""polygon"",""all_points_x"":[2,44,77,4,2],""all_points_y"":[199,195,152,157,199]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,6,"{""name"":""polygon"",""all_points_x"":[145,120,46,78,145],""all_points_y"":[144,186,195,152,144]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,7,"{""name"":""polygon"",""all_points_x"":[196,220,147,122,195],""all_points_y"":[176,134,144,185,180]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,8,"{""name"":""polygon"",""all_points_x"":[3,84,49,0,3],""all_points_y"":[234,226,296,300,234]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,9,"{""name"":""polygon"",""all_points_x"":[179,144,48,89,179],""all_points_y"":[219,287,296,225,219]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,10,"{""name"":""polygon"",""all_points_x"":[263,262,244,146,180,263],""all_points_y"":[209,207,276,287,219,209]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,11,"{""name"":""polygon"",""all_points_x"":[347,341,244,263,347],""all_points_y"":[195,266,277,208,195]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,12,"{""name"":""polygon"",""all_points_x"":[432,440,343,350,432],""all_points_y"":[191,255,265,197,191]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,13,"{""name"":""polygon"",""all_points_x"":[515,531,442,434,515],""all_points_y"":[179,241,253,189,179]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,14,"{""name"":""polygon"",""all_points_x"":[3,84,18,18,0,3],""all_points_y"":[428,421,571,571,575,428]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,15,"{""name"":""polygon"",""all_points_x"":[208,165,20,87,208],""all_points_y"":[404,555,571,418,404]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,16,"{""name"":""polygon"",""all_points_x"":[333,317,169,212,333],""all_points_y"":[386,532,552,403,386]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,17,"{""name"":""polygon"",""all_points_x"":[453,465,321,337,453],""all_points_y"":[375,512,531,386,375]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,18,"{""name"":""polygon"",""all_points_x"":[574,613,468,455,574],""all_points_y"":[361,494,513,376,361]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,19,"{""name"":""polygon"",""all_points_x"":[690,752,616,575,690],""all_points_y"":[344,475,492,359,344]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,20,"{""name"":""polygon"",""all_points_x"":[891,801,690,754,891],""all_points_y"":[459,332,344,475,459]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,21,"{""name"":""polygon"",""all_points_x"":[912,998,1000,894,804,912],""all_points_y"":[319,420,448,460,332,319]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,22,"{""name"":""polygon"",""all_points_x"":[998,916,997,998],""all_points_y"":[305,319,415,305]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,23,"{""name"":""polygon"",""all_points_x"":[3,322,321,2,3],""all_points_y"":[719,684,747,746,719]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,24,"{""name"":""polygon"",""all_points_x"":[668,702,325,325,668],""all_points_y"":[636,748,747,683,636]}","{}"
2015-11-16_0715.jpg,276577,"{}",26,25,"{""name"":""polygon"",""all_points_x"":[999,784,707,672,998,999],""all_points_y"":[715,746,747,639,596,715]}","{}"
